,Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
11,Associate Vice President - Data Science - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,- Expected to work in close collaboration with the Client team and EXL team on establis...,7-12 Yrs,"Data analysis, Operations research, Team management, data science, Analytics, Automation, Data modeling, Analytical",https://www.naukri.com/job-listings-associate-vice-president-data-science-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-171122909076
12,Consultant/AM/Manager - Deep Learning/NLP - Data Science,PYLON Management Consulting Private Limited,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,Good understanding of how to apply predictive and machine learning techniques like logi...,5-10 Yrs,"Data Science, NLP, Python, SQL, SVM, LSTM, logistic regression, random forest",https://www.naukri.com/job-listings-consultant-am-manager-deep-learning-nlp-data-science-pylon-management-consulting-private-limited-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-141122908564
13,Consultant - Data Science/Machine Learning Algorithms - KPO,PYLON Management Consulting Private Limited,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"Having minimum 4+ years of experience Strong programming experience in Python / R, atle...",4-7 Yrs,"Python, NLP, Machine learning, R, IT Skills",https://www.naukri.com/job-listings-consultant-data-science-machine-learning-algorithms-kpo-pylon-management-consulting-private-limited-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-111122912962
14,Manager - Data Science - Banking & Financial Services,Black Turtle,"Delhi / NCR, Bangalore/Bengaluru",Not disclosed,ONLY FEMALEManager - Data Science - Banking & Financial Services - IIM / ISB/MDI / FMSA...,4-8 Yrs,"Data Scientist, SAS, BFSI, Coding, Data Modeling, Data Analytics, Statistics, Machine Learning",https://www.naukri.com/job-listings-manager-data-science-banking-financial-services-black-turtle-india-pvt-ltd-delhi-ncr-bangalore-bengaluru-4-to-8-years-101122909670
15,Data Science SeniorTechnical Manager,Gcc Services,Bangalore/Bengaluru,Not disclosed,About AB InBevWe are the worlds leading brewer bringing people together for a better wo...,8-13 Yrs,"python, machine learning, data science, Machine Learning Algorithms, Logistic Regression, Regression, numpy, Regression Analysis",https://www.naukri.com/job-listings-data-science-seniortechnical-manager-abinbev-gcc-services-private-limited-bangalore-bengaluru-8-to-13-years-091122909267
16,Data science Manager-Model Risk Control,Paypal,Chennai,Not disclosed,Bachelor s or Master s degree in quantitative science or engineering field (Computer Sc...,5-9 Yrs,"remediation, Data analysis, data science, Risk control, Machine learning, Risk management, Financial services, SQL",https://www.naukri.com/job-listings-data-science-manager-model-risk-control-paypal-holdings-inc-chennai-5-to-9-years-031122500333
17,"Data Science Lead , Sales Analytics",Zscaler Softech,Bangalore/Bengaluru,Not disclosed,6 years of hands on experience in advanced statistical analysis using various techniques,3-6 Yrs,"Interpersonal skills, Sales, Sales operations, data science, Business analytics, Analytical, Silicon, Data analytics",https://www.naukri.com/job-listings-data-science-lead-sales-analytics-cloudneeti-bangalore-bengaluru-3-to-6-years-041122501451
18,"Data Science Lead , Sales Analytics",Zscaler Softech,Bangalore/Bengaluru,Not disclosed,6 years of hands on experience in advanced statistical analysis using various techniques,3-6 Yrs,"Interpersonal skills, Sales, Sales operations, data science, Business analytics, Analytical, Silicon, Data analytics",https://www.naukri.com/job-listings-data-science-lead-sales-analytics-zscaler-inc-bangalore-bengaluru-3-to-6-years-031122501317
19,Data Science & Analytics,V- Konnect Associates,Mumbai,Not disclosed,The role is expected to use analytical tools to identify opportunities to grow overall ...,15-18 Yrs,"advanced analytics, Regulatory reporting, Underwriting, Analytical, Business analytics, Artificial Intelligence, Machine learning, Business strategy",https://www.naukri.com/job-listings-data-science-analytics-v-konnect-associates-mumbai-15-to-18-years-171122500887
20,Data Science Professional,Xitadel Cae Technologies India,Bangalore/Bengaluru,Not disclosed,Applied experience with Deep Learning algorithms such as Convolutional Neural Networks ...,2-6 Yrs,"deep learning, Statistical analysis, data science, Neural networks, Time series analysis, Machine learning, Programming, SQL",https://www.naukri.com/job-listings-data-science-professional-xitadel-cae-technologies-india-private-limited-bangalore-bengaluru-2-to-6-years-071122501850
21,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,10-15 Yrs,"Data Science, LSTM, DNN, Artificial Intelligence, PySpark, Machine Learning, Deep Learning, R",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-10-to-15-years-071122903801
22,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Cloud Infrastructure, tensor flow, Deep Learning, R, NLP",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-2-to-7-years-071122902696
